sample,gene,ct,well,method,tissue,cell
z3,IH,-1,C7,zymo,neuron,IC
z3,IH,-1,C8,zymo,neuron,IC
z3,IH,34.8689,C9,zymo,neuron,IC
z3,inx1,30.1166,C7,zymo,neuron,IC
z3,inx1,29.724,C8,zymo,neuron,IC
z3,inx1,28.4433,C9,zymo,neuron,IC
z3,inx2,31.7528,C7,zymo,neuron,IC
z3,inx2,30.9685,C8,zymo,neuron,IC
z3,inx2,28.8936,C9,zymo,neuron,IC
z3,shal,-1,C7,zymo,neuron,IC
z3,shal,34.237,C8,zymo,neuron,IC
z3,shal,33.8266,C9,zymo,neuron,IC
z5,CbNaV,35.2529,E7,zymo,neuron,LPG
z5,CbNaV,-1,E8,zymo,neuron,LPG
z5,CbNaV,-1,E9,zymo,neuron,LPG
z5,IH,-1,E7,zymo,neuron,LPG
z5,IH,-1,E8,zymo,neuron,LPG
z5,IH,-1,E9,zymo,neuron,LPG
z5,inx1,-1,E7,zymo,neuron,LPG
z5,inx1,-1,E8,zymo,neuron,LPG
z5,inx1,-1,E9,zymo,neuron,LPG
z5,inx2,-1,E7,zymo,neuron,LPG
z5,inx2,-1,E8,zymo,neuron,LPG
z5,inx2,-1,E9,zymo,neuron,LPG
z5,shal,-1,E7,zymo,neuron,LPG
z5,shal,-1,E8,zymo,neuron,LPG
z5,shal,-1,E9,zymo,neuron,LPG
z6,CbNaV,32.4661,F7,zymo,neuron,LPG
z6,CbNaV,31.3808,F8,zymo,neuron,LPG
z6,CbNaV,31.6613,F9,zymo,neuron,LPG
z6,IH,NA,F7,zymo,neuron,LPG
z6,IH,NA,F8,zymo,neuron,LPG
z6,IH,33.9473,F9,zymo,neuron,LPG
z6,inx1,32.6391,F7,zymo,neuron,LPG
z6,inx1,31.3108,F8,zymo,neuron,LPG
z6,inx1,31.8923,F9,zymo,neuron,LPG
z6,inx2,32.7523,F7,zymo,neuron,LPG
z6,inx2,32.629,F8,zymo,neuron,LPG
z6,inx2,30.6241,F9,zymo,neuron,LPG
z6,shal,-1,F7,zymo,neuron,LPG
z6,shal,-1,F8,zymo,neuron,LPG
z6,shal,33.8446,F9,zymo,neuron,LPG
z1,CbNaV,32.9419,A7,zymo,neuron,PD
z1,CbNaV,-1,A8,zymo,neuron,PD
